,장소,위치,시간,요금종류,요금
0,여의도한강공원,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,매일 00:00 - 24:00,입장료,무료
1,잠원한강공원,서울 서초구 잠원동,,입장료,무료
2,올림픽공원,서울 송파구 올림픽로 424,매일 05:00 - 22:00도보나 자전거 출입 (광장지역은 24:00),이용요금,무료
3,반포한강공원,서울 서초구 신반포로11길 40 한강공원 반포 안내센터,,입장료,무료
4,롯데월드잠실점,,,,
5,보라매공원,서울 동작구 여의대방로20길 33,매일 00:00 - 24:00,입장료,무료
6,잠실한강공원,서울 송파구 한가람로 65 한강사업본부 잠실안내센터,매일 00:00 - 24:00,입장료,무료
7,메이필드호텔,,,,
8,광나루한강공원,서울 강동구 암사동 659-1,,입장료,무료
9,더케이호텔서울,,,,
10,제니스스포츠클럽,,,,
11,리베라호텔서울,,,,
12,세빛섬,서울 서초구 올림픽대로 2085-14 세빛섬,,입장료,무료
13,프리마호텔,,,,
14,선유도공원,서울 영등포구 선유로 343,매일 06:00 - 24:00,입장료,무료
15,더리버사이드호텔,,,,
16,JW메리어트호텔,,,,
17,라마다서울신도림호텔,,,,
18,아쿠아리움코엑스몰점,서울 강남구 영동대로 513,매일 10:00 - 21:00(입장마감 20시까지),성인/청소년 (만13세 이상),"28,000원"
19,라마다호텔서울강남,,,,
20,코엑스인터컨티넨탈호텔서울,,,,
21,콘래드서울호텔,,,,
22,양화한강공원,서울 영등포구 노들로 113 양화개나리점,,입장료,무료
23,고척스카이돔,서울 구로구 경인로 430 고척스카이돔,,입장료,무료
24,쉐라톤서울팔래스강남호텔,,,,
25,오크우드프리미어코엑스센터,,,,
26,고척근린공원,,,,
27,인터컨티넨탈호텔서울코엑스,,,,
28,노보텔앰배서더호텔강남,,,,
29,쉐라톤서울디큐브시티호텔,,,,
30,서서울호수공원,서울 양천구 남부순환로64길 26 신월야구장,매일 00:00 - 24:00,입장료,무료
31,헌인릉,,,,
32,잠실종합운동장,서울 송파구 올림픽로 25 서울종합운동장,,입장료,무료
33,롯데월드아쿠아리움,서울 송파구 올림픽로 300 롯데월드몰 B1,,어른 및 청소년 (만13세 이상),"31,000원"
34,올림픽공원체조경기장,,,,
35,목동실내아이스링크,서울 양천구 안양천로 939,매일 00:00 - 24:00코로나19 확산 예방을 위해 일반개장 휴관 중,입장료,무료
